	champion	ck_rate	cs_per_min	kda	result	timestamp
64	그레이브즈	31	4.7	0.67	패배	2017년 4월 3일 오후 4시 14분
65	그레이브즈	47	5.8	5.00	승리	2017년 4월 3일 오후 3시 32분
66	이즈리얼	24	7.9	1.33	승리	2017년 4월 3일 오후 2시 59분
67	쉔	29	6.1	0.88	패배	2017년 4월 2일 오후 10시 05분
68	뽀삐	45	5	4.50	승리	2017년 4월 2일 오후 9시 29분
69	루시안	43	7.5	2.43	승리	2017년 4월 2일 오후 8시 36분
70	그레이브즈	39	5.1	1.50	승리	2017년 4월 2일 오후 6시 11분
71	애쉬	59	7.2	5.67	승리	2017년 4월 2일 오후 5시 21분
72	케넨	25	5.1	0.33	패배	2017년 3월 31일 오후 11시 18분
73	애쉬	33	5.8	0.78	패배	2017년 3월 31일 오전 2시 02분
74	애쉬	29	7.2	6.00	승리	2017년 3월 31일 오전 1시 17분
75	쉔	21	7.6	0.75	패배	2017년 3월 30일 오후 10시 29분
76	레넥톤	56	5.8	0.71	패배	2017년 3월 30일 오후 3시 54분
77	애쉬	59	5.8	3.00	승리	2017년 3월 30일 오후 3시 16분
78	제이스	24	7.2	10.00	승리	2017년 3월 29일 오후 10시 54분
79	애쉬	55	6.9	2.83	승리	2017년 3월 29일 오후 10시 03분
80	요릭	26	6.3	0.86	패배	2017년 3월 29일 오후 9시 23분
81	애쉬	41	6.7	2.25	패배	2017년 3월 29일 오후 8시 49분
82	그레이브즈	64	4.3	2.33	패배	2017년 3월 29일 오후 4시 08분
83	애쉬	38	7.7	3.67	승리	2017년 3월 29일 오후 3시 33분
84	루시안	41	5.9	0.88	패배	2017년 3월 29일 오후 2시 57분
85	애쉬	60	4.8	0.43	패배	2017년 3월 29일 오전 1시 02분
86	애쉬	32	8.2	1.00	패배	2017년 3월 29일 오전 12시 33분
87	이즈리얼	54	5	2.63	승리	2017년 3월 28일 오후 11시 40분
88	그라가스	33	7.1	3.50	승리	2017년 3월 28일 오후 10시 47분
89	애쉬	74	7.3	6.50	승리	2017년 3월 28일 오후 9시 57분
90	애쉬	17	5.7	0.20	패배	2017년 3월 28일 오후 3시 36분
91	루시안	63	5.5	2.00	패배	2017년 3월 28일 오후 3시 07분
92	이즈리얼	9	6.8	0.33	패배	2017년 3월 28일 오전 1시 42분
93	쉔	45	6.3	4.33	승리	2017년 3월 28일 오전 1시 15분
94	루시안	43	6.8	1.50	패배	2017년 3월 28일 오전 12시 40분
95	루시안	33	7.3	7.00	승리	2017년 3월 27일 오후 11시 58분
96	루시안	43	7.7	3.00	승리	2017년 3월 27일 오후 11시 04분
97	루시안	55	6.8	2.73	승리	2017년 3월 27일 오전 1시 20분
98	루시안	64	6.2	1.78	패배	2017년 3월 27일 오전 12시 23분
